------------------------------------------------------------------------------------------
--- Kernel logs (dmesg) ---
<3>[14053.139115] DL data not available
<3>[14053.159113] DL data not available
<3>[14053.179114] DL data not available
<3>[14053.941483] DL data not available
<3>[14053.949430] qdsp_cvp_callback: cmd = 0x112c2 returned error = 0x9
<3>[14053.949470] voice_send_vol_step_cmd: DSP returned error[ADSP_EALREADY]
<3>[14053.961493] DL data not available
<3>[14053.981491] DL data not available
<3>[14054.622892] DL data not available
<3>[14054.625990] qdsp_cvp_callback: cmd = 0x112c2 returned error = 0x9
<3>[14054.626023] voice_send_vol_step_cmd: DSP returned error[ADSP_EALREADY]
<3>[14054.642899] DL data not available
<3>[14054.662895] DL data not available
<3>[14054.682896] DL data not available
<3>[14054.702906] DL data not available
<3>[14054.722906] DL data not available
<3>[14054.742903] DL data not available
<3>[14054.762897] DL data not available
<3>[14054.782897] DL data not available
<3>[14054.802894] DL data not available
<3>[14054.822895] DL data not available
<3>[14054.842897] DL data not available
<3>[14054.862894] DL data not available
<3>[14054.882897] DL data not available
<3>[14054.943031] msm8952-asoc-wcd c051000.sound: msm8952_wsa_switch_event: no wsa switch supply
<3>[14054.962238] enable_spk_ext_pa: gpio_num:96, Enable external speaker PA
<3>[14054.995393] DL data not available
<3>[14055.015392] DL data not available
<3>[14055.035391] DL data not available
<3>[14055.055404] DL data not available
<3>[14055.075399] DL data not available
<3>[14055.095393] DL data not available
<3>[14055.115413] DL data not available
<3>[14055.135399] DL data not available
<3>[14055.155416] DL data not available
<3>[14055.175407] DL data not available
<3>[14055.195402] DL data not available
<3>[14055.199162] adm_callback: cmd = 0x10328 returned error = 0x2
<3>[14055.199198] send_adm_cal_block: DSP returned error[ADSP_EBADPARAM]
<3>[14055.215397] DL data not available
<3>[14055.235407] DL data not available
<3>[14055.299630] enable_spk_ext_pa: gpio_num:96, Disable external speaker PA
<3>[14055.351008] msm8952-asoc-wcd c051000.sound: msm8952_wsa_switch_event: no wsa switch supply
<3>[14055.358155] msm8952-asoc-wcd c051000.sound: msm8952_wsa_switch_event: no wsa switch supply
<3>[14055.373791] enable_spk_ext_pa: gpio_num:96, Enable external speaker PA
<3>[14055.388982] adm_callback: cmd = 0x10328 returned error = 0x2
<3>[14055.389016] send_adm_cal_block: DSP returned error[ADSP_EBADPARAM]
<3>[14055.434198] enable_spk_ext_pa: gpio_num:96, Disable external speaker PA
<3>[14055.481180] msm8952-asoc-wcd c051000.sound: msm8952_wsa_switch_event: no wsa switch supply
<3>[14055.486523] msm8952-asoc-wcd c051000.sound: msm8952_wsa_switch_event: no wsa switch supply
<3>[14055.502659] enable_spk_ext_pa: gpio_num:96, Enable external speaker PA
<3>[14055.515517] adm_callback: cmd = 0x10328 returned error = 0x2
<3>[14055.515556] send_adm_cal_block: DSP returned error[ADSP_EBADPARAM]
<3>[14055.627998] qdsp_cvp_callback: cmd = 0x112c2 returned error = 0x9
<3>[14055.628037] voice_send_vol_step_cmd: DSP returned error[ADSP_EALREADY]
<3>[14055.628618] DL data not available
<3>[14055.648644] DL data not available
<3>[14055.668634] DL data not available
<3>[14055.688626] DL data not available
<3>[14055.708641] DL data not available
<3>[14055.728628] DL data not available
<3>[14055.748628] DL data not available
<3>[14055.768627] DL data not available
<3>[14055.788629] DL data not available
<3>[14055.808631] DL data not available
<3>[14055.828630] DL data not available
<3>[14055.848627] DL data not available
<3>[14055.868635] DL data not available
<3>[14055.992942] DL data not available
<3>[14056.012968] DL data not available
<3>[14056.032945] DL data not available
<3>[14056.052952] DL data not available
<3>[14056.053168] enable_spk_ext_pa: gpio_num:96, Disable external speaker PA
<3>[14056.072951] DL data not available
<3>[14056.092945] DL data not available
<3>[14056.100934] msm8952-asoc-wcd c051000.sound: msm8952_wsa_switch_event: no wsa switch supply
<3>[14056.112982] DL data not available
<3>[14056.132966] DL data not available
<3>[14056.152948] DL data not available
<3>[14056.847816] DL data not available
<3>[14056.851520] qdsp_cvp_callback: cmd = 0x112c2 returned error = 0x9
<3>[14056.851552] voice_send_vol_step_cmd: DSP returned error[ADSP_EALREADY]
<3>[14056.867832] DL data not available
<3>[14056.887819] DL data not available
<3>[14056.907827] DL data not available
<3>[14056.927824] DL data not available
<3>[14056.947826] DL data not available
<3>[14056.967823] DL data not available
<3>[14056.987821] DL data not available
<3>[14057.007833] DL data not available
<3>[14057.027826] DL data not available
<3>[14057.047867] DL data not available
<3>[14057.067832] DL data not available
<3>[14057.087827] DL data not available
<3>[14057.107852] DL data not available
<3>[14057.127821] DL data not available
<3>[14057.193139] msm8952-asoc-wcd c051000.sound: msm8952_wsa_switch_event: no wsa switch supply
<3>[14057.212422] enable_spk_ext_pa: gpio_num:96, Enable external speaker PA
<3>[14057.245700] DL data not available
<3>[14057.265713] DL data not available
<3>[14057.285705] DL data not available
<3>[14057.305727] DL data not available
<3>[14057.325712] DL data not available
<3>[14057.345729] DL data not available
<3>[14057.365715] DL data not available
<3>[14057.385711] DL data not available
<3>[14057.405720] DL data not available
<3>[14057.425709] DL data not available
<3>[14057.445710] DL data not available
<3>[14057.461227] adm_callback: cmd = 0x10328 returned error = 0x2
<3>[14057.461259] send_adm_cal_block: DSP returned error[ADSP_EBADPARAM]
<3>[14057.465736] DL data not available
<3>[14057.485729] DL data not available
<3>[14057.505723] DL data not available
<3>[14057.575661] enable_spk_ext_pa: gpio_num:96, Disable external speaker PA
<3>[14057.621264] msm8952-asoc-wcd c051000.sound: msm8952_wsa_switch_event: no wsa switch supply
<3>[14057.627841] msm8952-asoc-wcd c051000.sound: msm8952_wsa_switch_event: no wsa switch supply
<3>[14057.643735] enable_spk_ext_pa: gpio_num:96, Enable external speaker PA
<3>[14057.662529] adm_callback: cmd = 0x10328 returned error = 0x2
<3>[14057.662653] send_adm_cal_block: DSP returned error[ADSP_EBADPARAM]
<3>[14057.722029] enable_spk_ext_pa: gpio_num:96, Disable external speaker PA
<3>[14057.771062] msm8952-asoc-wcd c051000.sound: msm8952_wsa_switch_event: no wsa switch supply
<3>[14057.780463] msm8952-asoc-wcd c051000.sound: msm8952_wsa_switch_event: no wsa switch supply
<3>[14057.804743] enable_spk_ext_pa: gpio_num:96, Enable external speaker PA
<3>[14057.827814] adm_callback: cmd = 0x10328 returned error = 0x2
<3>[14057.827854] send_adm_cal_block: DSP returned error[ADSP_EBADPARAM]
<3>[14057.954129] qdsp_cvp_callback: cmd = 0x112c2 returned error = 0x9
<3>[14057.954162] voice_send_vol_step_cmd: DSP returned error[ADSP_EALREADY]
<3>[14057.955123] DL data not available
<3>[14057.975134] DL data not available
