##DateTime MemTotal: MemFree: Cached: 
02-05-2018_10-34-01 2803616 46280 297640 
02-05-2018_10-34-02 2803616 45836 297656 
02-05-2018_10-34-03 2803616 45092 297640 
02-05-2018_10-34-03 2803616 44348 297644 
02-05-2018_10-34-04 2803616 44100 297644 
02-05-2018_10-34-04 2803616 44348 297644 
02-05-2018_10-34-05 2803616 44116 297644 
02-05-2018_10-34-06 2803616 44240 297644 
02-05-2018_10-34-06 2803616 42628 299600 
02-05-2018_10-34-07 2803616 41388 299604 
02-05-2018_10-34-08 2803616 41388 299604 
02-05-2018_10-34-08 2803616 40644 299604 
02-05-2018_10-34-09 2803616 40132 299604 
02-05-2018_10-34-10 2803616 39760 299604 
02-05-2018_10-34-10 2803616 39760 299636 
02-05-2018_10-34-11 2803616 39884 299636 
02-05-2018_10-34-12 2803616 39796 299640 
02-05-2018_10-34-12 2803616 38284 299640 
02-05-2018_10-34-13 2803616 38656 299640 
02-05-2018_10-34-13 2803616 38780 299640 
02-05-2018_10-34-14 2803616 38036 299640 
02-05-2018_10-34-15 2803616 38160 299640 
02-05-2018_10-34-15 2803616 37912 299640 
02-05-2018_10-34-16 2803616 37860 299644 
02-05-2018_10-34-17 2803616 37788 299644 
02-05-2018_10-34-17 2803616 37152 299644 
02-05-2018_10-34-18 2803616 36776 299644 
02-05-2018_10-34-19 2803616 36764 299644 
02-05-2018_10-34-19 2803616 36664 299676 
02-05-2018_10-34-20 2803616 36416 299676 
02-05-2018_10-34-20 2803616 36168 299680 
02-05-2018_10-34-21 2803616 35796 299680 
02-05-2018_10-34-22 2803616 35672 299680 
02-05-2018_10-34-22 2803616 36888 298508 
02-05-2018_10-34-23 2803616 37064 298400 
02-05-2018_10-34-24 2803616 36740 298400 
02-05-2018_10-34-24 2803616 36600 298400 
02-05-2018_10-34-25 2803616 36044 298404 
02-05-2018_10-34-26 2803616 36044 298404 
02-05-2018_10-34-26 2803616 35796 298404 
02-05-2018_10-34-27 2803616 37656 296680 
02-05-2018_10-34-28 2803616 37160 296760 
02-05-2018_10-34-28 2803616 36788 296764 
02-05-2018_10-34-29 2803616 36664 296764 
02-05-2018_10-34-29 2803616 36292 296768 
02-05-2018_10-34-30 2803616 44976 296768 
02-05-2018_10-34-31 2803616 45056 296768 
02-05-2018_10-34-31 2803616 45020 296800 
02-05-2018_10-34-32 2803616 44408 296800 
02-05-2018_10-34-33 2803616 44180 296800 
02-05-2018_10-34-33 2803616 44300 296800 
02-05-2018_10-34-34 2803616 43892 296804 
02-05-2018_10-34-35 2803616 43640 296804 
02-05-2018_10-34-35 2803616 43712 296804 
02-05-2018_10-34-36 2803616 43392 296804 
02-05-2018_10-34-36 2803616 39300 300912 
02-05-2018_10-34-37 2803616 38060 301356 
02-05-2018_10-34-38 2803616 37316 301360 
02-05-2018_10-34-38 2803616 36936 301360 
02-05-2018_10-34-39 2803616 36316 301716 
02-05-2018_10-34-40 2803616 36256 301744 
02-05-2018_10-34-40 2803616 36204 301748 
02-05-2018_10-34-41 2803616 36256 301748 
02-05-2018_10-34-42 2803616 35512 302420 
02-05-2018_10-34-42 2803616 37108 300280 
02-05-2018_10-34-43 2803616 36736 300284 
02-05-2018_10-34-43 2803616 36612 300284 
02-05-2018_10-34-44 2803616 36188 300284 
02-05-2018_10-34-45 2803616 36240 300284 
02-05-2018_10-34-45 2803616 35744 300284 
